Province_State,Date,Confirmed,Deaths,new_confirmed,new_death,new_confirmed_growth,new_death_growth,death_rate
Alabama,2020-03-01 00:00:00,0,0,,,,,
Alabama,2020-03-02 00:00:00,0,0,0.0,0.0,,,
Alabama,2020-03-03 00:00:00,0,0,0.0,0.0,0.0,0.0,
Alabama,2020-03-04 00:00:00,0,0,0.0,0.0,0.0,0.0,
Alabama,2020-03-05 00:00:00,0,0,0.0,0.0,0.0,0.0,
Alabama,2020-03-06 00:00:00,0,0,0.0,0.0,0.0,0.0,
Alabama,2020-03-07 00:00:00,0,0,0.0,0.0,0.0,0.0,
Alabama,2020-03-08 00:00:00,0,0,0.0,0.0,0.0,0.0,
Alabama,2020-03-09 00:00:00,0,0,0.0,0.0,0.0,0.0,
Alabama,2020-03-10 00:00:00,0,0,0.0,0.0,0.0,0.0,
Alabama,2020-03-11 00:00:00,0,0,0.0,0.0,0.0,0.0,
Alabama,2020-03-12 00:00:00,0,0,0.0,0.0,0.0,0.0,
Alabama,2020-03-13 00:00:00,5,0,5.0,0.0,5.0,0.0,0.0
Alabama,2020-03-14 00:00:00,7,0,2.0,0.0,-3.0,0.0,0.0
Alabama,2020-03-15 00:00:00,11,0,4.0,0.0,2.0,0.0,0.0
Alabama,2020-03-16 00:00:00,29,0,18.0,0.0,14.0,0.0,0.0
Alabama,2020-03-17 00:00:00,39,0,10.0,0.0,-8.0,0.0,0.0
Alabama,2020-03-18 00:00:00,51,0,12.0,0.0,2.0,0.0,0.0
Alabama,2020-03-19 00:00:00,78,0,27.0,0.0,15.0,0.0,0.0
Alabama,2020-03-20 00:00:00,106,0,28.0,0.0,1.0,0.0,0.0
Alabama,2020-03-21 00:00:00,131,0,25.0,0.0,-3.0,0.0,0.0
Alabama,2020-03-22 00:00:00,157,0,26.0,0.0,1.0,0.0,0.0
Alabama,2020-03-23 00:00:00,196,0,39.0,0.0,13.0,0.0,0.0
Alabama,2020-03-24 00:00:00,242,0,46.0,0.0,7.0,0.0,0.0
Alabama,2020-03-25 00:00:00,381,1,139.0,1.0,93.0,1.0,0.26246719160104987
Alabama,2020-03-26 00:00:00,517,1,136.0,0.0,-3.0,-1.0,0.19342359767891684
Alabama,2020-03-27 00:00:00,587,4,70.0,3.0,-66.0,3.0,0.6814310051107325
Alabama,2020-03-28 00:00:00,694,4,107.0,0.0,37.0,-3.0,0.5763688760806917
Alabama,2020-03-29 00:00:00,825,10,131.0,6.0,24.0,6.0,1.2121212121212122
Alabama,2020-03-30 00:00:00,899,10,74.0,0.0,-57.0,-6.0,1.1123470522803114
Alabama,2020-03-31 00:00:00,987,23,88.0,13.0,14.0,13.0,2.330293819655522
Alabama,2020-04-01 00:00:00,1060,27,73.0,4.0,-15.0,-9.0,2.547169811320755
Alabama,2020-04-02 00:00:00,1233,32,173.0,5.0,100.0,1.0,2.5952960259529605
Alabama,2020-04-03 00:00:00,1495,38,262.0,6.0,89.0,1.0,2.5418060200668897
Alabama,2020-04-04 00:00:00,1614,44,119.0,6.0,-143.0,0.0,2.7261462205700124
Alabama,2020-04-05 00:00:00,1765,45,151.0,1.0,32.0,-5.0,2.5495750708215295
Alabama,2020-04-06 00:00:00,1952,49,187.0,4.0,36.0,3.0,2.5102459016393444
Alabama,2020-04-07 00:00:00,2169,64,217.0,15.0,30.0,11.0,2.9506685108344857
Alabama,2020-04-08 00:00:00,2328,66,159.0,2.0,-58.0,-13.0,2.8350515463917527
Alabama,2020-04-09 00:00:00,2703,70,375.0,4.0,216.0,2.0,2.589715131335553
